bucket,n,ratio_binom,ratio_gauss,ratio_wf
"[0.00,0.05)",143045,1.4449688218296304,10.804834009831598,1.7708617073846031
"[0.05,0.15)",120116,0.8001072178390344,2.385644222569805,0.9248924818152677
"[0.15,0.30)",106916,0.5836604056976955,1.130091160611694,1.1436182437011775
"[0.30,0.45)",80776,0.5401493817888967,0.8849394054963051,1.1861144904753704
"[0.45,0.55)",56176,0.648404976036637,1.0201907575188662,1.526834126486154
"[0.55,0.70)",51804,0.5560029531058408,0.9036414194110983,1.3111633505635538
"[0.70,0.85)",40874,0.7719101660003483,1.4650602473740044,1.4154435352472519
"[0.85,0.95)",21057,1.152626611826252,3.2390273453601988,1.9702384360217118
"[0.95,1.00)",12487,2.528646480200981,16.599444582361595,6.313299800776241
