key,tau,p,regime,composite-zi,composite,global-slv,const-lam,bucket,garch,pit
KXMLBGAME-26JUN152210TBLAD-TB,4.0,0.43,1,-2.079425007186786,-1.8983096557183912,-2.4412089239020824,-3.8404863186902385,-2.909156217412886,-3.8735756229456504,0.7460851861858898
KXMLBGAME-26JUN152210TBLAD-TB,3.0,0.44,1,-3.409049688986147,-3.257692849868915,-2.975041218836756,-3.967737937454737,-2.9853020242595356,-3.82711044514861,0.0977829340001805
KXMLBGAME-26JUN152210TBLAD-TB,2.0,0.41,1,-4.712919685499774,-4.879123694673581,-4.061320233354996,-4.137256559112661,-4.488695275363607,-3.865949930128482,0.04224660208485966
KXMLBGAME-26JUN152210TBLAD-TB,1.0,0.33,1,-6.800845099469717,-8.749115202602109,-5.574117910019456,-3.9244811052047783,-4.890345346761293,-5.635153682048873,0.0015564019307298055
KXMVESPORTSMULTIGAMEEXTENDED-S202615246442B4B-BC07114EE33,13.0,0.5,1,-1.8101218091137985,-2.0596341588143092,-2.7911775940188246,-4.247760374772251,-3.3362022091391554,-3.8722148464950217,0.46874263481174766
KXMVESPORTSMULTIGAMEEXTENDED-S202615246442B4B-BC07114EE33,5.0,0.5,1,-0.472852578987182,-0.7313192305496726,-1.644746950421555,-3.7481651728677785,-3.104540112403941,-3.8131622459661925,0.36394298805599845
KXMVESPORTSMULTIGAMEEXTENDED-S202615246442B4B-BC07114EE33,4.0,0.5,1,-13.315160471067834,-14.91011298635448,-9.668283706032328,-9.262887494881735,-16.473493113785366,-7.400147759226617,8.041012044174533e-06
KXMVESPORTSMULTIGAMEEXTENDED-S202615246442B4B-BC07114EE33,3.0,0.037,2,-0.3834010614108319,-0.3834010614108319,-2.0341865572835136,-2.4029749473734183,-2.1179938717426845,-4.023043924217095,0.8172592305852779
KXMVESPORTSMULTIGAMEEXTENDED-S202615246442B4B-BC07114EE33,2.0,0.037,2,-0.4458410492936927,-0.4458410492936927,-1.3341717730308755,-2.5804132654899976,-3.604072977039016,-3.9638079589948667,0.6108171654965939
KXMVESPORTSMULTIGAMEEXTENDED-S202615246442B4B-BC07114EE33,1.0,0.039,2,-5.063658379859348,-5.063658379859348,-3.961672252422322,-1.8938027026007875,-3.641296015720613,-3.925048339935268,0.0032074803163975297
KXNHLHART-26-KKUC,250.0,0.16999999999999998,3,-1.11215206592053,-1.11215206592053,-0.6314096636199955,-2.343708119225097,-2.372693833121926,-3.8722148464950217,0.4402284062159099
KXNHLHART-26-KKUC,249.0,0.16999999999999998,3,-1.11215206592053,-1.11215206592053,-0.3687690902682094,-2.2318859631950687,-2.372693833121926,-3.8131622459661925,0.6064402529613273
KXNHLHART-26-KKUC,248.0,0.16999999999999998,3,-2.6328935111638287,-2.6328935111638287,-4.116343527786334,-2.412273845333438,-2.481916219999253,-3.7610900487431573,0.865396963101831
KXNHLHART-26-KKUC,247.0,0.19,3,-2.4730256305962883,-2.4730256305962883,-2.741353411785903,-2.2120635116901672,-2.481916219999253,-3.7039357163745668,0.1804539536893886
KXNHLHART-26-KKUC,246.0,0.16999999999999998,3,-2.0576830657228316,-2.0576830657228316,-1.7647945519248416,-2.2346779258681573,-2.3999994204564272,-3.640581238317657,0.2591766783644066
KXNHLHART-26-KKUC,245.0,0.16499999999999998,3,-1.11215206592053,-1.11215206592053,-0.708453914217864,-2.178980426411081,-2.372693833121926,-3.5798441651860418,0.4591451842516524
KXNHLHART-26-KKUC,244.0,0.16499999999999998,3,-2.057683065722832,-2.057683065722832,-2.0740968067700427,-2.2168042077454997,-2.3999994204564277,-3.5240956175316462,0.7521364649653819
KXNHLHART-26-KKUC,243.0,0.16999999999999998,3,-1.11215206592053,-1.11215206592053,-0.5684641518842583,-2.183558852470048,-2.372693833121926,-3.4630995651621177,0.6265538601534612
KXNHLHART-26-KKUC,242.0,0.16999999999999998,3,-2.6328935111638287,-2.6328935111638287,-3.671703851397669,-2.4088549903454664,-2.481916219999253,-3.418796365615946,0.823460073075502
KXNHLHART-26-KKUC,241.0,0.19,3,-5.512347883337012,-5.512347883337012,-6.9214410357069704,-6.092896103075167,-5.103283395700707,-3.7364098497122313,0.012692250748578795
KXNHLHART-26-KKUC,240.0,0.095,3,-0.8196826229693435,-0.8196826229693435,-1.2997093326859595,-3.220387866583688,-2.0199733965513937,-3.3329018190591895,0.2865922124594017
KXNHLHART-26-KKUC,239.0,0.095,3,-0.8196826229693435,-0.8196826229693435,-0.622388540202988,-2.3355965725151093,-2.0199733965513937,-3.2752135946242147,0.3459285273954717
KXNHLHART-26-KKUC,238.0,0.095,3,-1.929765570654431,-1.929765570654431,-2.257878169265606,-2.2944827544063244,-2.075259048098322,-3.222815399638285,0.26375791840992246
KXNHLHART-26-KKUC,237.0,0.09,3,-0.8196826229693435,-0.8196826229693435,-0.4359943385393922,-1.8896850806706578,-2.0199733965513937,-3.1607811436525757,0.560536975337925
KXNHLHART-26-KKUC,236.0,0.09,3,-0.8196826229693435,-0.8196826229693435,-0.26652463447284763,-1.8021617191609152,-2.0199733965513937,-3.10394059706992,0.7218093147002143
