band,share
tau<=1d,0.11217795664998295
"tau(1,3]d",0.04971087987650196
"tau(3,7]d",0.10122709572553393
"tau(7,30]d",0.13990775458562707
tau>30d,0.20705277457926471
terminal jump,0.3899235385830894
