pi,ti,p_bucket,tau_band,n,n_mkts,still_frac,excess_still,kurt_z,jump_share,ratio_fit,budget_share,regime
0,0,"[0.00,0.05)","[1,3)d",8273,5214,0.4870059228816632,0.34892894661008866,28.979806876514058,0.36375320739109374,9.155700971957422,0.025182263738273623,2
0,1,"[0.00,0.05)","[3,7)d",14693,5092,0.618457769005649,0.39641047713729927,357.5532594457306,0.0,1.263256150489501,0.0041293700419231015,2
0,2,"[0.00,0.05)","[7,14)d",12835,3358,0.6248539150759641,0.3111455488705768,324.64487262057946,0.15476266551891527,1.7141155482912533,0.0032454594013355768,2
0,3,"[0.00,0.05)","[14,30)d",19968,2267,0.6189903846153846,0.19119668662482503,620.3102929852314,0.3402044537403126,0.8216166075894974,0.0016626584099974687,3
0,4,"[0.00,0.05)","[30,90)d",41530,1969,0.5898386708403563,0.016414882014855747,586.4444922938266,0.08522845811330515,1.5323265064876512,0.004889309745925477,3
0,5,"[0.00,0.05)","[90,inf)d",52830,1117,0.6608745031232255,-0.08276852976018534,954.5029493336739,0.17400834237684304,2.682415158036185,0.006399164115708738,3
1,0,"[0.05,0.15)","[1,3)d",5389,3495,0.14121358322508815,0.10958922503325688,15.111375794269684,0.0,4.298768185430669,0.038975172636890584,1
1,1,"[0.05,0.15)","[3,7)d",9600,4009,0.32927083333333335,0.27511786579493397,46.56886585292795,0.1303614923886529,0.7157214105582294,0.006846278977681486,3
1,2,"[0.05,0.15)","[7,14)d",8702,2600,0.29096759365663066,0.20867172023186709,47.087737693410865,0.32521563049449376,0.9737622267930011,0.005570428810101482,3
1,3,"[0.05,0.15)","[14,30)d",12668,1991,0.3002052415535207,0.17735205898659168,74.08926335349825,0.07119106396328401,0.9539135793476066,0.005153038058185326,3
1,4,"[0.05,0.15)","[30,90)d",38080,2057,0.35483193277310926,0.15256878802103108,131.48963307697707,0.08979283563060358,0.8990388848860841,0.008859921616191709,3
1,5,"[0.05,0.15)","[90,inf)d",65451,1371,0.4624528273059235,0.126804187923025,238.70536111834744,0.0,1.2640935605901131,0.012017624864906498,3
2,0,"[0.15,0.30)","[1,3)d",8980,5358,0.1403118040089087,0.12371955922189026,1.3794301105855222,0.0,4.059860742968816,0.13063376455267006,1
2,1,"[0.15,0.30)","[3,7)d",15651,5780,0.30771196728643535,0.27954261793629864,38.60800781847293,0.1264980223221438,0.25154588841063985,0.008320623073041707,3
2,2,"[0.15,0.30)","[7,14)d",12785,3877,0.24685177942901837,0.20491060911788916,27.864190183412916,0.24612519496698515,0.42044717837440754,0.007650767324759776,1
2,3,"[0.15,0.30)","[14,30)d",11381,2059,0.23785256128635446,0.17494416044570493,36.380316982397396,0.215188662124573,0.6468141435143817,0.006908995945331053,3
2,4,"[0.15,0.30)","[30,90)d",26626,1756,0.2644407721775708,0.16035716318349003,43.826729359228814,0.12491089748118767,0.8413578049366635,0.012474695749264972,3
2,5,"[0.15,0.30)","[90,inf)d",44576,1226,0.3570306891600861,0.1681744993802547,41.70823053161461,0.1429782652277778,0.9370444088403762,0.012772663348536738,3
3,0,"[0.30,0.45)","[1,3)d",8208,5079,0.11842105263157894,0.10542589789578968,-0.6245286873617495,0.0,3.443767927269751,0.13702966502424666,1
