bucket,n,ratio,ci_lo,ci_hi
"[0.00,0.05)",3671,7.368483236836255,6.885295847192408,7.892194041650333
"[0.05,0.15)",2713,2.650763962787323,2.471925896604874,2.8465245894472058
"[0.15,0.30)",3426,1.6345078477295703,1.5687510934423745,1.7027803649833535
"[0.30,0.45)",5499,1.3434430643725537,1.310054854831409,1.375348716506977
"[0.45,0.55)",6944,1.4168934218056286,1.3889825944127012,1.444792850395458
"[0.55,0.70)",2753,1.2408220708757813,1.2062394599421387,1.2802221186486096
"[0.70,0.85)",1663,1.616355393261059,1.53808133599789,1.698842991854181
"[0.85,0.95)",606,2.919304080092711,2.5917592390330135,3.2331611845011277
"[0.95,1.00)",190,12.905427549703473,10.712139955271196,15.366956277693095
