bucket,n,ratio,ci_lo,ci_hi
"[0.00,0.05)",29,1.422137656837629,1.1045707438670198,1.9073645252625133
"[0.05,0.15)",113,1.498150140546887,1.2022744318031455,1.7835810543142447
"[0.15,0.30)",312,1.202169585698945,1.0886407127081195,1.3271885807840804
"[0.30,0.45)",386,1.2751701063478986,1.176953838199499,1.3788990185968422
"[0.45,0.55)",295,1.1564040445389012,1.0697704784693582,1.2475644354133542
"[0.55,0.70)",435,1.1993456069353208,1.1116572437379342,1.2885345668536434
"[0.70,0.85)",290,1.1540169619293439,1.028871435090605,1.2969570088460862
"[0.85,0.95)",119,1.3309237062882722,1.0392455615932557,1.6901918997734917
"[0.95,1.00)",21,2.7414457352821784,1.2638429985515016,5.993068060212453
