bucket,n,ratio_binom,ratio_gauss,ratio_wf
"[0.00,0.05)",10840,0.38555295345181934,2.551914243120357,1.1998683409469142
"[0.05,0.15)",11656,0.5566396930842974,1.6206625166369781,1.0414845029925093
"[0.15,0.30)",14486,0.6495657819063906,1.2648925689100714,1.0182520013488379
"[0.30,0.45)",14542,0.7123997290274988,1.1663665312085403,0.9865670701010074
"[0.45,0.55)",9673,0.7344282375140208,1.1558319353761692,0.9954695429691234
"[0.55,0.70)",14786,0.7070161603662088,1.1564852885447083,0.9809823833516749
"[0.70,0.85)",15033,0.6720068412561605,1.3066023024141662,1.0266453705260352
"[0.85,0.95)",11924,0.5641612387076443,1.6493487181342876,1.075857103683926
"[0.95,1.00)",10587,0.3904991143491109,2.5648499457188465,1.248370637849135
