bucket,n,ratio,ci_lo,ci_hi
"[0.00,0.05)",25,0.6637120398390819,0.14884586937241664,1.4486472226794798
"[0.05,0.15)",106,1.1276545689651711,0.8015018028750319,1.4937877735419394
"[0.15,0.30)",317,1.0055419057694688,0.8804752712872619,1.1469485000225645
"[0.30,0.45)",403,1.0114436100796063,0.9162411964353977,1.104606670304343
"[0.45,0.55)",285,0.9192754132621449,0.8363799856068301,1.0041920795255865
"[0.55,0.70)",415,1.0229208432353192,0.9339204510826974,1.1129488555297262
"[0.70,0.85)",295,0.8974286011875668,0.789902506382598,1.0006702569906576
"[0.85,0.95)",134,0.9517753285740865,0.6761518486533902,1.2910368758577473
"[0.95,1.00)",20,1.922714766690073,0.5557711605034643,3.718367128804542
