band,share
tau<=1d,0.5348573578552571
"tau(1,3]d",0.09194298796463106
"tau(3,7]d",0.06988896237495205
"tau(7,30]d",0.11395578695206109
tau>30d,0.15009431657941094
terminal jump,0.039260588273687884
