lag,acf_z,acf_lambda
1,-0.023505618936333215,0.12576722247341646
2,-0.015112885271687955,0.10500093654935874
3,-0.014429244828870117,0.0853608911175166
4,-0.016873977366658695,0.06349970118026195
5,-0.021324185813059525,0.05330774912581286
