dist_bucket,tau_band,n,pi0,h_day,sigma_tk,gap_mean_tk,w_away,gap_var_share,var_model_emp,ll_per_obs
"[0.00,0.05)","[3,7)d",6197,0.5163128280325662,0.1355960519835068,1.9594090911188173,30.6283209048656,0.23414528623391162,0.9978371920798261,0.2788919633085851,-2.0000851344026027
"[0.00,0.05)","[7,14)d",9636,0.5116102720389839,0.15412889668402277,1.5438068412084105,12.884273441428096,0.3438604804085102,0.9876748776676344,0.1990212141366007,-1.8949984545424654
"[0.00,0.05)","[14,30)d",597,0.10156861290828663,0.226975607420923,3.5108825504462384,27.595920750156537,0.3024852626162852,0.9889188676218633,0.32772536780778944,-3.2973283128567994
"[0.00,0.05)","[30,90)d",691,0.17035062177039131,0.2100663742999429,2.560460464007686,15.38874442267655,0.44773329048095023,0.9653334294176984,0.2641097841572914,-2.915405475684618
"[0.05,0.15)","[90,inf)d",28899,0.4113185848137865,0.4673801159589029,0.9955735937238004,12.662112728015357,0.4967505695029391,0.9991107183933392,0.5573906404518432,-2.878088958347932
