bucket,n,excess_kurt
"[0.00,0.05)",143045,939.9750410675125
"[0.05,0.15)",120116,260.43521629085984
"[0.15,0.30)",106916,62.786940233355
"[0.30,0.45)",80776,32.080671176873444
"[0.45,0.55)",56176,34.279265874538744
"[0.55,0.70)",51804,51.994692116098626
"[0.70,0.85)",40874,65.97424634722508
"[0.85,0.95)",21057,258.7851630366847
"[0.95,1.00)",12487,390.84093806689265
