bucket,n,excess_kurt
"[0.00,0.05)",8205,31.78529586645613
"[0.05,0.15)",10902,7.344147263676625
"[0.15,0.30)",14800,5.7053301822091615
"[0.30,0.45)",14112,3.2423901522601524
"[0.45,0.55)",9117,2.6721767861244645
"[0.55,0.70)",14380,2.8705121085070298
"[0.70,0.85)",14667,4.317948513752117
"[0.85,0.95)",10447,9.389688689894674
"[0.95,1.00)",7711,24.98791035565955
