bucket,n,ratio,ci_lo,ci_hi
"[0.00,0.05)",31,2.1734109246177793,0.39063055259365076,4.314228232509009
"[0.05,0.15)",118,1.1184009703321958,0.758622813268849,1.4877293124197484
"[0.15,0.30)",342,1.0296810477466862,0.9014717428264426,1.1548450527089655
"[0.30,0.45)",404,0.9299699097959157,0.8413637600561671,1.019096825510027
"[0.45,0.55)",271,0.9933285436783459,0.8919309845821427,1.1041837488267134
"[0.55,0.70)",398,1.024260277469049,0.9373438123344114,1.1158180689126462
"[0.70,0.85)",294,0.9943348231715475,0.8745003511035827,1.127739032623946
"[0.85,0.95)",123,1.2662057999444583,0.9530359108645696,1.6053048145064515
"[0.95,1.00)",19,1.5376962594199195,0.09717882521602302,3.8186078845105413
