bucket,n,ratio,ci_lo,ci_hi
"[0.00,0.05)",773,1.2135534194485447,0.8853162564694467,1.6258614915235585
"[0.05,0.15)",434,1.3516619381116275,1.1233442278177244,1.6062161758659137
"[0.15,0.30)",426,1.2163623054195194,1.0947385951601154,1.354634416772707
"[0.30,0.45)",474,1.1698123834993812,1.0911172279801022,1.2590690560533644
"[0.45,0.55)",736,1.151442159111283,1.0904480351281007,1.217764734527652
"[0.55,0.70)",339,1.2020435067325173,1.1112843456198331,1.2932905978860667
"[0.70,0.85)",157,1.3434571589330615,1.1602738596803248,1.5362263760884123
"[0.85,0.95)",40,3.0438238503341415,2.0062364762690383,4.317315105923363
"[0.95,1.00)",3,7.350238066553876,0.023874345549738222,33.10566719349745
