bucket,n,ratio_binom,ratio_gauss,ratio_wf,ci_lo,ci_hi
"[0.00,0.05)",8205,0.24774717319069944,1.6005799550995687,0.6511952390474078,1.2405213945565987,2.111266447293135
"[0.05,0.15)",10902,0.4217209202080798,1.223378875227989,0.841486473119526,1.0891355039034145,1.3737858303846717
"[0.15,0.30)",14800,0.5636621692308658,1.095540496751682,0.9760112893559078,1.0283554972777833,1.1659639303092355
"[0.30,0.45)",14112,0.6180264400341681,1.0112528422894869,1.0104488698370548,0.9615281838644779,1.0627062084313583
"[0.45,0.55)",9117,0.6606977516664864,1.039824065012469,1.0607678432330863,0.9796989428923064,1.0998872992669297
"[0.55,0.70)",14380,0.6173187473691982,1.009992684900601,1.0111801007983892,0.9646151381153593,1.0583839878636832
"[0.70,0.85)",14667,0.5518789701592023,1.073803721262628,0.9589811283414973,1.0156141522838422,1.1411075627912923
"[0.85,0.95)",10447,0.4338910543640508,1.2558578573513128,0.9012887246885812,1.1559791292227422,1.3769098843572818
"[0.95,1.00)",7711,0.28257692109596333,1.8113103476106869,0.7712814648378782,1.231163419339994,2.758644000863312
