pi,ti,p_bucket,tau_band,n,n_mkts,still_frac,excess_still,kurt_z,jump_share,ratio_fit,budget_share,regime
0,1,"[0.00,0.05)","[3,7)d",580,323,0.2189655172413793,-0.004516664902441486,16.018105837517044,0.0,1.5639263815074975,0.002117989896439949,1
0,2,"[0.00,0.05)","[7,14)d",1315,412,0.3155893536121673,-0.004880827994670545,6.216431386065219,0.0,1.0559339055500265,0.0015001914044131864,1
0,3,"[0.00,0.05)","[14,30)d",2755,415,0.4225045372050817,0.009669471292200527,3.0438095189311944,0.0,1.0522667570323705,0.0016155510189679396,1
0,4,"[0.00,0.05)","[30,90)d",4414,312,0.531717263253285,0.0011352319641314557,1.586526501061864,0.0,1.054163813058321,0.0012213854749691018,1
1,1,"[0.05,0.15)","[3,7)d",468,271,0.0405982905982906,-0.013916828385807024,5.510289009032736,0.0,1.326466090085604,0.012798375983433469,1
1,2,"[0.05,0.15)","[7,14)d",1049,398,0.07816968541468065,-0.001293993270390939,1.4546808078810214,0.0,1.0306162145744937,0.01052124660658928,1
1,3,"[0.05,0.15)","[14,30)d",2623,532,0.10751048417842166,-0.007793676460174037,0.6261113034593255,0.0,1.0503862343364747,0.012641308299595127,1
1,4,"[0.05,0.15)","[30,90)d",6484,515,0.1713448488587292,-0.005494111692167569,0.4149545252940241,0.0,1.030468719078662,0.01254778010679773,1
1,5,"[0.05,0.15)","[90,inf)d",694,82,0.23198847262247838,0.001348911507671663,0.046275074627391444,0.0,0.9411435025702212,0.0007241710813550513,1
2,1,"[0.15,0.30)","[3,7)d",401,265,0.032418952618453865,0.002811985808147361,0.3060506109002281,0.0,1.2417148174085613,0.03083932990885549,1
2,2,"[0.15,0.30)","[7,14)d",1066,416,0.0450281425891182,0.0016851653170054104,0.42500241027971297,0.0010992349708469629,0.9828165486584683,0.030306994170033793,1
2,3,"[0.15,0.30)","[14,30)d",2841,618,0.06159802886307638,-0.001660923076525829,0.3465123247153983,0.023098305500691474,1.0581047208966416,0.040592683942240304,1
2,4,"[0.15,0.30)","[30,90)d",8513,754,0.0937389874309879,-0.007038010968817954,0.07689731865359839,0.0014876169077381318,1.0933222067443331,0.04848490849835037,1
2,5,"[0.15,0.30)","[90,inf)d",1395,172,0.12903225806451613,-0.005999936819256924,-0.0021919058323995877,0.0,0.9400636004787242,0.003870301874374113,1
3,1,"[0.30,0.45)","[3,7)d",338,229,0.014792899408284023,-0.008072764136252315,-0.34608641238353455,0.0,1.052113974348026,0.035720219368353165,1
3,2,"[0.30,0.45)","[7,14)d",903,400,0.03322259136212625,-0.0005061954044079733,-0.13064308476566922,0.0,0.9254920477577454,0.038643034065534626,1
3,3,"[0.30,0.45)","[14,30)d",2591,636,0.042454650714010035,-0.006473682504142375,0.04654384926270039,0.0,0.9825184054672224,0.055656021821684276,1
3,4,"[0.30,0.45)","[30,90)d",8727,863,0.08238799129139453,0.004207636211165461,0.09663473799197408,0.011398435427312892,1.074475919282274,0.07903638870940582,1
3,5,"[0.30,0.45)","[90,inf)d",1478,229,0.09201623815967523,-0.01367622801734071,-0.15821652965526178,0.02209663890885727,0.999117695880762,0.006917841383430603,1
4,1,"[0.45,0.55)","[3,7)d",205,163,0.02926829268292683,0.007997790704117064,-0.9603455231252505,0.0,1.0993409492774262,0.02606926905657587,1
