lag,acf_z,acf_lambda
1,-0.11499115862787071,0.18800157562687791
2,-0.030536725568016492,0.10474464587811246
3,-0.016257340782916647,0.07849039198268545
4,-0.014858166615755172,0.06744520258186924
5,-0.00816935839317783,0.060207441960362186
