lag,acf_z,acf_lambda
1,-0.19535356038977764,0.057955264404674876
2,-0.00404755367985671,0.03979749361528789
3,-0.0009022782227169343,0.04511869349056522
4,0.003177002569661837,0.03204002735521041
5,-0.005255589835899263,0.02730186620830826
