bucket,n,excess_kurt
"[0.00,0.05)",10840,17.712043642682538
"[0.05,0.15)",11656,1.171537432602027
"[0.15,0.30)",14486,0.20704475867932093
"[0.30,0.45)",14542,0.00392947887481121
"[0.45,0.55)",9673,-0.06912875837348542
"[0.55,0.70)",14786,-0.023686746672550996
"[0.70,0.85)",15033,0.22027688287184022
"[0.85,0.95)",11924,0.8629182385172736
"[0.95,1.00)",10587,14.943719750825611
