key,band,p0,tau0,budget,evd,evj,full_vd,full_vj,zi_vd,zi_vj,clam_vd,clam_vj
KXWCTEAMTOTAL-26JUN26SENIRQ-SEN3,14.0,0.155,14.0,0.130975,0.00015000000000000026,0.29702500000000004,0.0007936875092638318,0.20041914624553378,0.0006708531707015143,0.2046477457294482,0.0007872061532235527,0.18664744640217934
KXWCTEAMTOTAL-26JUN26SENIRQ-SEN3,7.0,0.365,7.0,0.231775,0.00012500000000000022,0.2763,0.00039749048440488916,0.24005775995738163,0.0003180411818498512,0.23873973129027162,0.00032136541910731265,0.23671006432452113
KXWCTEAMTOTAL-26JUN26SENIRQ-SEN3,3.0,0.47,3.0,0.2491,0.0,0.27130000000000004,0.00014297353984571705,0.2493885703451876,0.00013586213642446197,0.2528087126040499,0.00011536616172881459,0.24884947230615723
KXNCAAF1HSPREAD-26SEP05CLEMLSU-LSU7,3.0,0.51,3.0,0.2499,0.00010000000000000018,0.24019999999999997,0.00016118676109937302,0.24873563513309566,0.0001345670595533079,0.2544910704746425,0.00011498959768789118,0.24922156938031123
KXWCGAME-26JUN11MEXRSA-MEX,30.0,0.65,30.0,0.22749999999999998,0.0010999999999999998,0.08460000000000002,0.0016659469722286218,0.25168499569109065,0.001335967604884576,0.30384223391954374,0.0016018732954933424,0.2402706077567239
KXWCGAME-26JUN11MEXRSA-MEX,14.0,0.68,14.0,0.2176,0.00019999999999999814,0.08420000000000002,0.0007349324436378216,0.23258411563219997,0.0005992979415016514,0.24602698284683272,0.0007353586578113297,0.22369895630434017
KXWCGAME-26JUN11MEXRSA-MEX,7.0,0.7,7.0,0.21000000000000002,0.0,0.08420000000000002,0.00038627276499392975,0.21793682383515395,0.0002766220516559863,0.23281072551959298,0.0003050632030618461,0.21532424893540533
KXWCGAME-26JUN11MEXRSA-MEX,3.0,0.7,3.0,0.21000000000000002,0.0,0.08420000000000002,0.0001776238710668914,0.21413318921096505,0.00011811062037178345,0.21656371924611723,0.0001450393580497052,0.2142603820263974
KXFIRSTSUPERBOWLSONG-26FEB09-MEP,30.0,0.35,30.0,0.22749999999999998,0.0010500000000000002,0.11384999999999997,0.0016198415202281716,0.26367247478004185,0.0013569963410692088,0.288263416439252,0.0015474035001363262,0.2612862276248642
KXGOVSHUTLENGTH-26JAN01-53D,14.0,0.27,13.041666666666666,0.1971,0.0012249999999999974,0.07842500000000001,0.0007753575266154767,0.2208774010281869,0.0005965361793258031,0.23557979379405475,0.0007019653012165847,0.20690580901001276
KXGOVSHUTLENGTH-26JAN01-53D,7.0,0.25,6.999999999999999,0.1875,0.00039999999999999986,0.07550000000000001,0.00045732178078766646,0.20118618033320765,0.0003707009833515357,0.2111927425802473,0.0004047300314883287,0.19883855798599803
KXWCSPREAD-26JUL11NORENG-NOR2,7.0,0.1,5.0,0.09000000000000001,0.00020000000000000036,0.0082,0.00019785668400789492,0.126233623034531,0.00017421142938050656,0.13655585211352433,0.0002036564222980769,0.12729081671515477
KXWCSPREAD-26JUL11NORENG-NOR2,3.0,0.09,3.0,0.0819,0.00010000000000000018,0.0082,0.0001234437079715616,0.10485127877273552,0.000103890375849603,0.09808480149886474,0.000149915477481945,0.10104827629157283
KXSERIEAGAME-26FEB16CAGLEC-CAG,7.0,0.45499999999999996,7.0,0.247975,0.00022499999999999986,0.17729999999999996,0.00036099725691297955,0.2507039910454835,0.0003042271166959843,0.25459499006368086,0.0002878384147099736,0.25025006027480495
KXSERIEAGAME-26FEB16CAGLEC-CAG,3.0,0.45,3.0,0.24750000000000003,0.00020000000000000036,0.17649999999999996,0.00017099267008370138,0.24727998578651358,0.00013774637560190175,0.251905596928372,0.0001269084468236523,0.24532402704501302
KXNFLXINCREASE-26,30.0,0.85,29.95833333333333,0.1275,0.0014999999999999892,0.041999999999999975,0.001398105118502036,0.23369389061681886,0.0011382986128452477,0.2689751637286199,0.001565625328191241,0.22658671140162107
KXNFLXINCREASE-26,14.0,0.73,14.0,0.1971,0.0004999999999999964,0.019200000000000012,0.0007767908390606607,0.20536222603220014,0.0005605092550796192,0.2400807910478592,0.0007700777928724377,0.20295046333354683
KXNFLXINCREASE-26,7.0,0.87,7.0,0.1131,0.0,0.010499999999999995,0.00036581629856105883,0.1281648269264973,0.0002712458463301622,0.15776607142519505,0.0004906735302490636,0.11835116095049393
KXWT20MATCH-26JUL170930DURHAM-HAM,3.0,0.71,3.0,0.20590000000000003,0.0,0.35814999999999997,0.0001647234145651481,0.2029796690206947,0.00013054614979186554,0.20831057197827665,0.00011298071807411488,0.21423322909903347
KXEPLGAME-26MAR03EVEBUR-EVE,14.0,0.16,14.0,0.1344,0.00030000000000000057,0.35429999999999995,0.000796276242269394,0.19812527183290313,0.0007443075896432851,0.20246230282387231,0.0007792627598697895,0.17824013374743344
KXEPLGAME-26MAR03EVEBUR-EVE,7.0,0.58,7.0,0.2436,0.00020000000000000036,0.1374,0.0003840666604004381,0.2437902373839101,0.00030863955984170987,0.2529101953896205,0.0003036452266119019,0.24689743277580464
KXEPLGAME-26MAR03EVEBUR-EVE,3.0,0.6,3.0,0.24,0.00020000000000000036,0.13699999999999998,0.00017222516353856471,0.24239735054272302,0.00012865245294381206,0.2461962148471784,0.00012093889958246562,0.24049180920759028
KXWCGOAL-26JUL05MEXENG-ENGJBELLI5-1,3.0,0.19,3.0,0.1539,0.00020000000000000036,0.6401000000000001,0.00018944472655423375,0.1582973741860141,0.00015239243888772995,0.16294782846269762,0.00019225867231458638,0.1670931655830402
KXNCAAFGAME-25DEC20JMUORE-ORE,14.0,0.93,13.0,0.06509999999999996,0.0002999999999999961,0.004999999999999993,0.0005482824191772589,0.11223613094386552,0.00044087352007353685,0.1437652871544232,0.0008752000036250959,0.10291741346458974
KXNCAAFGAME-25DEC20JMUORE-ORE,7.0,0.94,7.0,0.05640000000000005,0.00019999999999999814,0.004999999999999993,0.0002598284294355439,0.08226348934563042,0.00022969516239622074,0.09960834205628184,0.00048443032142241266,0.09893037506852596
KXNCAAFGAME-25DEC20JMUORE-ORE,3.0,0.94,3.0,0.05640000000000005,0.00019999999999999814,0.004999999999999993,0.00012984106911661806,0.07022292029262873,8.678568905489602e-05,0.075576936989947,0.00021880689697411298,0.06682994738956634
KXWCCORNERS-26JUN21BELIRI-10,3.0,0.495,3.0,0.249975,2.5000000000000045e-05,0.23049999999999998,0.0001560375994099408,0.2505564124862897,0.00013483483310581263,0.2537817486510027,9.687307347465234e-05,0.2503359362078843
KXBUNDESLIGAGAME-26APR11RBLBMG-RBL,7.0,0.66,7.0,0.2244,0.00020000000000000036,0.10499999999999997,0.00037115526678110846,0.22973886520200953,0.00027768189788251964,0.2336403859607607,0.00029536949830324656,0.22829807832029603
KXBUNDESLIGAGAME-26APR11RBLBMG-RBL,3.0,0.65,3.0,0.22749999999999998,0.00020000000000000036,0.10249999999999997,0.00014941543804822738,0.23177407758329763,0.00013103854302867247,0.22686013210522493,0.00011456678344725645,0.22906766736128842
KXNFLMOSTRSHYDS-26FEB08SEANE-NETHENDERSON32,14.0,0.07,11.0,0.0651,0.0004000000000000002,0.010900000000000002,0.00044432471139282037,0.14833709364282238,0.00039813803568650516,0.14129237582495868,0.0004178810382575611,0.14789951718228705
KXNFLMOSTRSHYDS-26FEB08SEANE-NETHENDERSON32,7.0,0.05,7.0,0.0475,0.0002000000000000001,0.010900000000000002,0.00026476714739362883,0.14006446622078417,0.00022041908663019306,0.1374582053813424,0.00021996019299051108,0.11476932670692822
KXNFLMOSTRSHYDS-26FEB08SEANE-NETHENDERSON32,3.0,0.06,3.0,0.05639999999999999,0.00010000000000000018,0.010900000000000002,9.631471205468083e-05,0.08654283622969318,0.0001024552922665059,0.10114938368901231,0.0001307669666597898,0.1124201877358579
KXDPWORLDTOUR-INSAOC26-CJAR,3.0,0.05,3.0,0.0475,0.0,0.5079,9.772967701614739e-05,0.07171949634755997,8.449060718390168e-05,0.0862025399765089,0.00015473137815090606,0.08746744037852715
KXBUNDESLIGAGAME-26MAY03SCFWOB-SCF,7.0,0.41,7.0,0.24190000000000003,9.999999999999907e-05,0.1382,0.0003614112470555937,0.2472145655344096,0.00031274586484280784,0.25379181749003743,0.00033414527018905694,0.2437765756880395
KXBUNDESLIGAGAME-26MAY03SCFWOB-SCF,3.0,0.38,3.0,0.2356,0.0,0.13699999999999998,0.00015317375948007745,0.23667779966036062,0.0001394851214139023,0.2484283675921359,0.00011956955528657328,0.2335099638340273
