lag,acf_z,acf_lambda
1,-0.27978819571292596,0.2173342507045075
2,-0.01582780425063123,0.09357649716945758
3,-0.010879172772764147,0.07544240199564108
4,-0.0038814566219700056,0.06304397071923412
5,-0.003853591842317116,0.05456483779091424
