key,n_moves,mdt,still,p_ext,p_range,tot2,max2,t_res,p0,xstill,lam,kz,log_moves,log_tres,log_mdt,spend_lr,lump,dlam,f1,f2,f3,f4,ar1,ar1z,cluster
n_sim00000,88,1.0,0.6477272727272727,0.4182914496876185,0.2613621252948592,0.09228377641510072,0.03505880022410361,89.0,0.13984114305270087,0.2919564221174377,2.417476111040124,3.812178873142151,4.477336814478207,4.48863636973214,1.000088900581841e-12,-0.2650005405541705,3.509495115904505,2.4975492763248672,0.1602663524705283,0.19736511029097623,0.06049295082134027,0.10714606243255827,-0.12338945662437265,-0.12011340299343197,0
n_sim00001,45,1.0,0.5111111111111111,0.28915651708936513,0.8845449674008672,0.3384184273637661,0.16410514113165214,46.0,0.6858930625373422,0.41338301751838885,1.0301129152171413,2.754386920310285,3.8066624897703196,3.828641396489095,1.000088900581841e-12,0.4515831364573866,3.0828867358751273,1.4172886418036978,0.0987555451755968,0.14151501051466286,0.04784635291272641,0.04641596862335892,0.14104558174923668,0.06362715426177427,0
n_sim00002,109,1.0,0.6513761467889908,0.3429247863972641,0.531938510308912,0.09050476948428396,0.010165249617386775,110.0,0.5281510555749752,0.3760190594532672,1.2203507303645476,2.7785036914508665,4.6913478822291435,4.700480365792417,1.000088900581841e-12,-1.0128834044704687,2.5049203336564694,1.621491122061431,0.39753176952363056,0.2815850983776304,0.19768903001532928,0.07902283568230388,-0.14839917727296079,-0.07234921008748549,0
n_sim00003,94,1.0,0.6808510638297872,0.27943463185229833,0.43864155593444987,0.1502339315355003,0.02601945014465844,95.0,0.7367180753550409,0.5583482887097447,0.27804870496826833,2.8066539256341336,4.543294782270004,4.553876891600541,1.000088900581841e-12,-0.25548180200116244,2.7899454996757895,0.7707589166964782,0.17863315189839238,0.15423232559736935,0.1486155834018401,0.20111848137713614,-0.025654559292395913,-0.01040089439491226,0
n_sim00004,45,1.0,0.7555555555555555,0.310750397802209,0.4581331981648157,0.06873124113834486,0.01898623759193483,46.0,0.4145242225659319,0.5338898098971256,-0.6438674422199518,2.122976104510013,3.8066624897703196,3.828641396489095,1.000088900581841e-12,-1.2615971002122108,2.520173025463999,-0.9372777619344801,0.26342611188769927,0.4783020235160884,0.09236282247889706,0.16590900762924904,-0.04247112330920597,-0.026623372593418522,2
n_sim00005,85,1.0,0.6352941176470588,0.2912036990860961,0.6265590983081252,0.12614647642655952,0.024537568627921842,86.0,0.47078348946734705,0.43795322355543836,1.1859279580406004,3.3998758878438813,4.442651256490317,4.454347296253507,1.000088900581841e-12,-0.6805969143994371,2.8054128692343583,1.6373315471761662,0.1784826989442575,0.4347787259182485,0.2062260030834087,0.16194988765376753,0.12537189447220703,0.0065612631877047176,0
n_sim00006,42,1.0,0.5952380952380952,0.3425123080061142,0.48825002530864503,0.0657647738738461,0.020588352716777635,43.0,0.4769921248116946,0.34262646108658784,2.116663858726508,3.478121493560429,3.7376696182833684,3.7612001156935624,1.000088900581841e-12,-1.3332568800847597,2.576310787972413,-2.649325819015029,0.3527873635011271,0.20575656580210264,0.2859352132962555,0.15550113339265464,-0.16503875498992152,0.019555403889586497,6
n_sim00007,93,1.0,0.6129032258064516,0.3252563610776903,0.45197835169077594,0.09377409884493149,0.01100370272849324,94.0,0.5554251748722255,0.3357915055150489,0.7447801617288798,2.2340621886050513,4.532599493153256,4.543294782270004,1.000088900581841e-12,-0.9682083124374218,2.3899426339273138,1.1125440278149625,0.23329645028689852,0.2975383357305032,0.33018280070971184,0.06443707373728225,-0.2025090829745612,-0.14677685058149206,0
n_sim00008,23,1.0,0.7391304347826086,0.19180691476165582,0.15710470339627336,0.05714263288715382,0.02419675857152814,24.0,0.3621541724081382,0.6997548184064396,-1.5160570383406882,1.9764132540757682,3.1354942159291497,3.1780538303479458,1.000088900581841e-12,-1.3968608638251447,2.276162422863965,-0.8240951779487002,0.04285777952508445,0.006963075119167531,0.49595195813696835,0.42344493679331924,-0.25435501237889974,-0.31679776978060387,6
n_sim00009,42,1.0,0.5476190476190477,0.33961311222451773,0.39977262080765447,0.05879448150716868,0.018455987305079666,43.0,0.3253295683811728,0.25710467725546654,0.09583342777140173,1.71406872499212,3.7376696182833684,3.7612001156935624,1.000088900581841e-12,-1.3172597696896262,2.5790104520652277,0.4746585565326361,0.3478167485269625,0.3326645838389514,0.2968738100103884,0.010303844398053704,0.045525359357221774,0.09189617867096145,0
n_sim00010,11,1.0,0.7272727272727273,0.4424454705455448,0.05086003137294612,0.00935312327033523,0.0046125195897213245,12.0,0.06356520822856938,0.6152121583053967,0.196215498284095,2.1045568944090123,2.3978952727983707,2.4849066497880004,1.000088900581841e-12,-1.8506805637758623,1.690959201160942,-2.6193762268505356,0.23028252989649328,0.27656459946216294,0.0,0.0,0.004336921270231421,-0.02555376833688759,2
n_sim00011,91,1.0,0.6373626373626373,0.2439309002624134,0.6006402797743667,0.22810774510736892,0.0381463458523018,92.0,0.3369769217311976,0.48642023461132905,0.24122307592287429,1.6857892376762944,4.51085950651685,4.5217885770490405,1.000088900581841e-12,0.02074911764307176,2.722471392008459,-0.5467295109051223,0.1291263225089126,0.34431791460972283,0.40764670042373363,0.11658737431530138,-0.00937460701033893,-0.023789174000104062,2
n_sim00012,61,1.0,0.6885245901639344,0.4228612903633718,0.2423425571228044,0.07084304626358862,0.019395884238754227,62.0,0.7575574428771956,0.4478885827282116,1.724628775407445,2.889300554371006,4.110873864173311,4.127134385045092,1.000088900581841e-12,-0.9526420781551477,2.815467940266988,1.049404176737877,0.5397695470250493,0.2554492478383046,0.17412877921990344,0.01122435813294634,0.02971013495392556,-0.025114151811623103,6
n_sim00013,80,1.0,0.5625,0.4517187295434745,0.11732685719071782,0.05667287865576298,0.01239761363454153,81.0,0.11099652245164499,0.2364688131500773,2.107161245006969,2.688716362897364,4.382026634673881,4.394449154672439,1.000088900581841e-12,-0.554548974115692,2.862234872895029,-1.7482359451494056,0.37121459479379176,0.3412476257257199,0.1822545335913866,0.04417392869128905,-0.2262905511257775,-0.2930000514356942,6
n_sim00014,114,1.0,0.5789473684210527,0.19449066818232655,0.8356991261882871,0.4354443647052557,0.10763057893290007,115.0,0.6491286815627186,0.4809855880132039,1.244810644618396,3.2622199590908743,4.736198448394496,4.74493212836325,1.000088900581841e-12,0.6480718008885227,3.338536208579302,1.0716036743024193,0.13522304556679432,0.1313109089402968,0.15947389818937918,0.43970298684479014,-0.20414120795802118,-0.1094994353024105,0
n_sim00015,64,1.0,0.65625,0.2870460150983304,0.5871050983272796,0.12233757263708261,0.06863891935247571,65.0,0.4331848477473518,0.4481251308559839,2.755006894860863,3.700368234550956,4.1588830833596715,4.174387269895637,1.000088900581841e-12,-0.6966582859729974,3.580958581712352,3.7207101303393433,0.0707930146959544,0.6558455083896566,0.040620111860083984,0.04906557200616335,-0.1280102603881919,-0.07027863975931395,6
n_sim00016,34,1.0,0.7058823529411765,0.32095133257948877,0.3865675963356163,0.13135724354691028,0.06230744030438014,35.0,0.6133324036643837,0.6113404396571605,-0.1750353784736285,2.269672575307673,3.5263605246161616,3.5553480614894135,1.000088900581841e-12,-0.5907965054061479,2.7805207085493815,-0.3656826032140814,0.48349530850256695,0.02214037576433606,0.04430042703093145,0.06844262511250801,-0.02780875191959236,0.005902372200464053,2
n_sim00017,106,1.0,0.6226415094339622,0.2187742932837778,0.5486824253316568,0.27158424107850193,0.034679698224484586,107.0,0.222195229681071,0.525311300904959,0.07245659242782479,2.384368983170377,4.663439094112067,4.672828834461906,1.000088900581841e-12,0.45199568725470823,2.6053211724464345,-0.25892096527292574,0.1991712185992333,0.06493512237915816,0.19970352145704093,0.36963290237728436,-0.046047678704528874,-0.11548429402418292,2
n_sim00018,54,1.0,0.6851851851851852,0.26919757909953584,0.4793577536888023,0.12853033271037012,0.042119384057559876,55.0,0.28780465428889196,0.5298660031288398,0.1751271160386146,2.12488565130757,3.9889840465642745,4.007333185232471,1.000088900581841e-12,-0.46671399432861765,2.8733271811118977,0.1507236762443504,0.11926296967217152,0.3825694437404253,0.31172791164319363,0.1808670427704611,-0.17994256911915338,-0.12507203106966924,2
n_sim00019,49,1.0,0.6326530612244898,0.09217071097831113,0.6777677764590193,0.3350380832736739,0.18328319570388207,50.0,0.49529248386290403,0.5661669824785074,-0.3259106200637123,1.8704742683148845,3.8918202981106265,3.912023005428146,1.000088900581841e-12,0.2928719356762461,3.2886085653697146,-0.6148112349532511,0.08352904411320605,0.15733821998052047,0.042251534889328646,0.1698293736143232,-0.07342530657500655,-0.12034177593666878,2
n_sim00020,87,1.0,0.5747126436781609,0.25249636762204103,0.7143080395304287,0.3600673623692426,0.11721887329414461,88.0,0.19554015723025867,0.4725391789127663,0.7695359844293219,3.202042664595777,4.465908118654584,4.477336814478207,1.000088900581841e-12,0.8281095950322492,3.343659885894483,-1.4833268515715359,0.08659449040551981,0.08337570596213838,0.02987600397386531,0.14535839020706567,-0.026584450618374483,-0.10373438892681576,6
n_sim00021,95,1.0,0.6105263157894737,0.1166996909235184,0.5041339559729827,0.7598591681008192,0.2995697949183779,96.0,0.7512582620430532,0.5405893592255012,0.15607397534885945,2.1078619304487156,4.553876891600541,4.564348191467836,1.000088900581841e-12,1.4027237451963928,3.623091209031236,-0.2604362336168238,0.1168805255569084,0.03453367785574932,0.04047828761246844,0.07337827025738199,-0.042985042246798374,-0.10878281133192375,2
n_sim00022,85,1.0,0.6823529411764706,0.27238897740624846,0.6081882337288251,0.2131842922580547,0.08609694802871565,86.0,0.3509270605683295,0.4002540672129552,0.42665396634989783,2.108726001389497,4.442651256490317,4.454347296253507,1.000088900581841e-12,-0.06621120255394099,3.535968206598141,-0.40039521448974114,0.2727108339001407,0.1325178321344582,0.5143334703402705,0.07551555842535851,-0.06513912079945655,-0.08523205894693693,2
n_sim00023,85,1.0,0.611764705882353,0.19042036526679487,0.5780084600559223,0.1869034264235104,0.03984986894897086,86.0,0.3776581472445217,0.5346993193798801,-0.1601275191575572,2.8640824950727337,4.442651256490317,4.454347296253507,1.000088900581841e-12,-0.22913163212220658,2.897178325465888,0.7662380272067302,0.02205250569270238,0.2504644795333304,0.25424569325056445,0.3252756761362492,-0.054084179900411616,-0.05830204768239191,0
