key,n_moves,mdt,still,p_ext,p_range,tot2,max2,t_res,p0,xstill,lam,kz,log_moves,log_tres,log_mdt,spend_lr,lump,dlam,f1,f2,f3,f4,ar1,ar1z,cluster
100019225802010033126529101203140512968515963998105108729167644571853431150382,6,1.0,0.16666666666666666,0.24666666666666667,0.125,0.014899999999999998,0.0081,6.0,0.325,0.14416513170642284,-2.51428326225554,0.8886584502908271,1.791759469228055,1.791759469228055,1.000088900581841e-12,-2.689421381206161,1.182262317675807,-1.6193585687147038,0.24496644293657932,0.5436241610373407,0.0016778523488806655,0.04194630872201701,-0.6302724289761971,-0.6254135069599422,6
100036878070122838689491736975312543644694684005228591286218604091657188126039,7,1.0,0.14285714285714285,0.07428571428571425,0.020000000000000018,0.33040025,0.33005025,7.0,0.585,0.12325534191810636,-1.1763038235359304,1.9369685964286933,1.9459101490553132,1.9459101490553132,1.000088900581841e-12,0.3081697098236221,1.944850266327508,6.106916177514962,0.0003783290115537803,7.566580231075607e-05,0.0003026632092430243,0.0003026632092430243,-0.7075114236247669,-0.5839251047426366,5
100038420537482572525556691531865148324318723289388392794253042393988283565188,242,1.0,0.5661157024793388,0.19665289256198348,0.33499999999999996,0.09447500000000002,0.04202500000000001,242.0,0.5,0.44123335132838837,-0.8547004089901525,4.577827591347454,5.488937726156687,5.488937726156687,1.000088900581841e-12,-0.9731256686201086,4.678867153678084,-0.9017752176429008,0.44694363587777775,0.02408044456179859,0.22492722942339316,0.12172532415854223,0.022815792715928904,0.010226397004279688,7
100067677053694812730460296850221451830656965871151478092125776330632208052828,132,1.0,0.9545454545454546,0.4847954545454546,0.0375,0.0010004999999999999,0.00034224999999999994,132.0,0.0355,0.22894929269432096,-1.169347855996029,3.2900814318227716,4.882801922586371,4.882801922586371,1.000088900581841e-12,-3.5328873738330713,3.8100881037189573,-1.6755088930804938,0.6684157914358663,0.13293353310051623,0.16766616674895932,0.022988505724149434,-0.12657899290770275,-0.05739239291797512,7
100098020473832067613578030460610606791530401061969505626031456566653288089087,37,1.0,0.9459459459459459,0.49664864864864866,0.0195,0.00024575,9.025e-05,37.0,0.02,0.20406021972079594,-1.4644560391308996,2.3690116068727747,3.6109179126442243,3.6109179126442243,1.000088900581841e-12,-4.378970082173177,2.6091866113507707,0.6473512855047625,0.22583926662934173,0.027466937833298323,0.010172939938258636,0.7344862635422736,-0.291198207523903,-0.11954375997274694,7
100198467481990754389879542132900146141512359428605143337944632886324000145723,284,1.017605633802817,0.926056338028169,0.4789788732394366,0.20099999999999998,0.011489999999999995,0.0035402500000000004,289.0,0.2,0.11927306356217178,-0.22645145322131305,3.2568520505982685,5.648974238161206,5.666426688112432,0.017452449952208994,-2.633696723292381,4.471694467986894,-0.5223044367959357,0.902502175726501,0.006592689294465389,0.016514360311878654,0.043798955609765114,0.022095541474742773,-0.10385083714322081,1
100235312535794039063676923202021353699977603551583978210633279456755041004093,57,1.0,0.8947368421052632,0.48974561403508776,0.7235,0.5242647500000001,0.5234522500000001,57.0,0.725,0.12219047779277341,1.6027672237095045,3.9341503869540344,4.04305126783455,4.04305126783455,1.000088900581841e-12,0.9668093312755872,4.041500276070873,-3.140371583356882,0.9984750071390487,2.861149829350798e-06,1.9074332195671987e-06,0.001063870878213605,0.018637855382386777,0.06565202674774265,1
100252973434390351914985139239675681087068043144795082715683846928033625025256,4,1.0,1.0,0.4995,0.0,2.5e-07,2.5e-07,4.0,0.0005,0.5981902104339609,-8.115322267432395,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.000088900581841e-12,-7.600398336509401,1.3862823612398891,13.994235421629131,0.0,0.0,0.0,0.9999960000160001,0.0,0.0,0
100267003760103393908670696704053360363072200086302779487555818587885289088745,257,1.0,0.20233463035019456,0.16505836575875488,0.8415,0.9995549999999997,0.40959999999999985,257.0,0.52,0.07171217574424418,1.4721085263250533,4.113837055510733,5.54907608489522,5.54907608489522,1.000088900581841e-12,1.3874505434419746,4.656946978425591,-1.254150197248126,0.22802647177971397,0.12450540490505825,0.060276823186257635,0.048471569848534145,-0.06339153160020759,-0.04839005192664034,1
100280221677614073970031845639470593625091634838451858024140327157791586052991,13,1.0,0.23076923076923078,0.22653846153846152,0.06500000000000006,0.06220525000000003,0.05978025000000003,13.0,0.69,0.20060391778905493,-2.7935993125385945,2.050931920664566,2.5649493574615367,2.5649493574615367,1.000088900581841e-12,-1.2350692147490443,2.5251852947890807,1.4338836418359842,0.024917510981389585,0.0032151627072760755,0.00040189533840950944,0.004018953384095095,0.25109066983256045,-0.09366003217713811,1
