cluster,n_mkts,share,xstill,lam,kz,dlam,ar1z,log_moves,log_tres,log_mdt,still,p_ext,p_range,spend_lr,f1,f2,f3,f4,lump,ar1,budget_slope,budget_se,term_share
0,247,0.154375,0.38518125787571306,1.0177100181886216,2.954022316471398,1.2503921661674988,-0.08547150523964989,4.369595501696082,4.383327596402532,1.0000889005818408e-12,0.6502059722559376,0.33901561876554476,0.4637322974876027,-0.6987919544449052,0.26984911385320137,0.26851086884775693,0.20686490629861723,0.14283726035629596,3.0582831327703586,-0.07699656600674477,0.7539223430539593,0.04919197835849257,0.0690212270320411
1,39,0.024375,0.40648355484722576,-0.8221053619778669,1.942639292083668,-11.04039521752633,0.08485980874249383,3.14635244414905,3.201218743753684,1.0000889005818414e-12,0.7239126766613609,0.3399481231095806,0.25101063941812196,-1.831001333828255,0.5324278223880173,0.20385487938991614,0.1384048250347264,0.10614003031402487,2.4621046219825926,0.08163637335446275,0.5211267766653229,0.06279341670654924,0.3312285854409745
2,396,0.2475,0.5278580561745486,-0.08527085190983653,2.056567007489534,-0.24311925448418814,-0.04557353973464332,3.856810927913834,3.882369018266082,1.0000889005818408e-12,0.6333124872143728,0.24551038968826117,0.5349608542008116,-0.16204049306057008,0.16219697053241441,0.191720826464131,0.20751683913579283,0.20980176271084097,2.7799098593601435,-0.03750772734150997,1.3524977094021648,0.057846584221531744,0.19448994750756213
3,475,0.296875,0.01951076411548543,-0.07737730240766932,1.1037033837810772,-0.21822412296525534,-0.028330148107311513,4.110070763061699,4.129614495571019,1.0000889005818406e-12,0.18078467130841475,0.2701017008501536,0.5631624225721611,-0.28633668376554733,0.205485082788852,0.19485115813419474,0.20014601240532737,0.20747907271720775,2.2777764493486674,-0.01725317242060041,1.0833725023922287,0.04284682990006639,0.10732455161892447
4,4,0.0025,0.49920006706722003,-1.4718776757023035,1.9714418048863862,1.3547678344396212,0.05272016572757549,2.8949590425632143,2.952508244517291,1.000088900581841e-12,0.5735690235690235,0.18755711838742878,0.5103683829156018,-1.0578135742669026,0.041302472123693916,0.2082847957017882,0.09294363256776592,0.21257506089737374,2.368258938914229,-0.04797868376054728,1.8432515913180192,0.8295143828879107,0.18778415933637116
5,255,0.159375,0.0632106765041157,-0.17599265819642942,1.5273408932825252,-0.5363204814546343,-0.050422272738138554,3.8238308996754355,3.8511335773054975,1.0000889005818406e-12,0.31824945382446074,0.3413048408005272,0.45111903949369053,-1.033986551984616,0.35555326820516103,0.25081709460838947,0.17197635064256825,0.1090712807387564,2.325340461936006,-0.02948171647042362,0.7761493380685223,0.06408004904610262,0.16652847617167266
6,130,0.08125,0.3465052739957255,1.5004575281427748,2.8369267468147794,-0.5690545990785689,-0.13160593548706043,3.9115164417955954,3.937283027865222,1.000088900581841e-12,0.6488984730032644,0.3851387431003595,0.34912626500415345,-0.7528289031678939,0.3049481161316793,0.20560377662261828,0.17461184820259568,0.17115515083059496,2.819774666483817,-0.10413047903995788,1.0403365660074297,0.13082042437232144,0.26568748602075876
7,54,0.03375,0.09842904136783759,-0.7583325646590017,1.360632785199118,-3.326802928153169,0.18868385402234603,3.5930619049654386,3.6282866864951577,1.0000889005818412e-12,0.533167400589918,0.3970699875012467,0.3209987883726542,-2.022373933647796,0.6123597755977869,0.1910847759829977,0.06286930690331789,0.08765688115251204,2.414684305118261,0.2038451286037438,0.5905895877539895,0.15021310636495058,0.28897403429506086
