key,band,budget,p0,tau0,evd,evj,mvd,mvj,cvd,cvj
101434403359553929764780234916919166959889590658679054429843672204390513588056,30.0,0.101775,0.115,27.0,0.0014254999999999988,0.022945000000000004,0.001096175676436907,0.44289936972154864,0.0013899933247818175,0.12587773493689955
101434403359553929764780234916919166959889590658679054429843672204390513588056,14.0,0.069375,0.075,14.0,0.00042549999999999993,0.0009450000000000001,0.0005857950423453089,0.3279566426273635,0.0008902416949593353,0.0958059456538052
101434403359553929764780234916919166959889590658679054429843672204390513588056,7.0,0.051975,0.055,7.0,0.0002255,0.0005449999999999999,0.00029280952759687596,0.32180688600901697,0.0005047056553930073,0.07538927303740625
101491499269793539765890729500440478078979559571972876836355209033272846559170,30.0,0.24877499999999997,0.465,30.0,0.000772249999999996,0.16805625000000002,0.0012452883726341265,0.52329808027454,0.0012091422892349442,0.2684246448052513
101491499269793539765890729500440478078979559571972876836355209033272846559170,14.0,0.24937499999999999,0.475,14.0,0.0003722499999999986,0.16805625000000002,0.0005097415315795157,0.5280348621786832,0.000440768204271228,0.2661092561344305
101491499269793539765890729500440478078979559571972876836355209033272846559170,7.0,0.24797499999999997,0.455,7.0,0.00017224999999999936,0.16805625000000002,0.00020582704280052856,0.4417966940887101,0.00019393565051553107,0.25617984516743436
101491499269793539765890729500440478078979559571972876836355209033272846559170,3.0,0.249775,0.515,3.0,7.224999999999918e-05,0.16475625,8.530975194452423e-05,0.3266452127633531,6.509879372988587e-05,0.25423257903759144
102227184035967850089766981958743064457339118173548431660886438726896222843254,30.0,0.16962775,0.2165,30.0,0.0010229999999999987,0.4242697499999999,0.0012390521510204492,0.5185326932003133,0.001454854191607172,0.20510240817112246
102227184035967850089766981958743064457339118173548431660886438726896222843254,14.0,0.19686974999999998,0.2695,14.0,0.00032349999999999897,0.3330207499999999,0.000496377055863548,0.46285548598266757,0.0005468609015629568,0.2105991957131968
102227184035967850089766981958743064457339118173548431660886438726896222843254,7.0,0.16676775,0.2115,7.0,0.00010525000000000019,0.0926625,0.0002415609696396071,0.38675155571013164,0.00023985221150649627,0.18053439132138124
102227184035967850089766981958743064457339118173548431660886438726896222843254,3.0,0.23424974999999998,0.3745,3.0,4.625000000000009e-05,0.0670625,7.696453674500573e-05,0.38394501644456835,6.368683130201645e-05,0.23712467393265332
103864131794756285503734468197278890131080300305704085735435172616220564121629,30.0,0.069375,0.075,30.0,0.0019537499999999993,0.021519249999999997,0.0011898333627768727,0.28230380505749003,0.0014693369212664335,0.10592329000198675
103864131794756285503734468197278890131080300305704085735435172616220564121629,14.0,0.1056,0.12,14.0,0.0010429999999999994,0.016001,0.0005701719101888019,0.46151530730222023,0.0007580178145355082,0.13526780867591082
104468264438118085465761163263611745362235161579898771567536629365715258090512,30.0,0.174375,0.225,30.0,0.0010139999999999986,0.1666565,0.0012343714022674814,0.5248354817773284,0.0015020020750324253,0.20595242993954482
104468264438118085465761163263611745362235161579898771567536629365715258090512,14.0,0.22597499999999998,0.345,14.0,0.0007889999999999981,0.14383150000000003,0.0005383982872728856,0.49177876790109537,0.0005204201419174992,0.23889264249143263
